"codigo-da-ocorrencia";"classificacao-da-ocorrencia";"data-e-hora-da-ocorrencia";"latitude-da-ocorrencia";"longitude-da-ocorrencia";"cidade-da-ocorrencia";"uf-da-ocorrencia";"pais-da-ocorrencia";"aerodromo-da-ocorrencia";"investigacao-da-aeronave-foi-liberada";"status-da-investigacao";"numero-do-relatorio-de-divulgacao";"relatorio-de-divulgacao-foi-publicado";"dia-da-divulgacao-da-publicacao";"total-de-recomendacoes";"total-de-aeronaves-envolvidas";"ocorrencia-na-saida-da-pista";"tipo-de-ocorrencia";"tipo-de-categoria-da-ocorrencia";"taxonomia-do-tipo-de-icao";"matricula-da-aeronave";"categoria-do-operador-de-aeronave";"tipo-de-aeronave";"fabricante-da-aeronave";"modelo-de-aeronave";"tipo-de-aeronave-icao";"aeronave-motor-tipo";"aeronave-motor-quantidade";"aeronave-pmd";"categoria-pmd-aeronave";"quantidade-de-assentos-na-aeronave";"ano-de-fabricacao-da-aeronave";"pais-fabricante-da-aeronave";"pais-de-registro-da-aeronave";"registro-da-categoria-da-aeronave";"registro-segmento-da-aeronave";"voo-de-origem-do-acidente";"voo-destino-do-acidente";"fase-de-operacao-da-aeronave";"tipo-de-operacao-da-aeronave";"nivel-de-dano-da-aeronave";"total-de-fatalidades-no-acidente";"fator-do-acidente";"aspecto-do-fator-da-ocorrencia";"fator-condicionante";"area-do-fator";"numero-da-recomendacao";"dia-da-assinatura-de-recomendacao";"dia-do-encaminhamento-da-recomendacao";"conteudo-da-recomendacao";"status-da-recomendacao";"orgao-de-recomendacao"
39385;INCIDENTE GRAVE;21/02/2010 17:00;-1,59E+11;-4,79E+11;BRASÍLIA;DF;BRASIL;SBBR;SIM;FINALIZADA;IG-052/CENIPA/2011;SIM;01/08/2011;1;1;NÃO;POUSO SEM TREM;CONTATO ANORMAL COM A PISTA | POUSO SEM TREM;ARC;PTNIJ;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-711C;P28R;PISTÃO;MONOMOTOR;1202;1202;4;1976;BRASIL;BRASIL;AVIÃO;PARTICULAR;NELSON RODRIGUES GUIMARÃES;PRESIDENTE JUSCELINO KUBITSCHEK;POUSO;PRIVADA;SUBSTANCIAL;0;DESVIO DE NAVEGAÇÃO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;172/D/11;01/08/2011;25/08/2011 00:00;Divulgar o presente relatório final aos operadores da aviação geral, a fim de elevar o alerta quanto à verificação do trem de pouso antes da aterrissagem.;CUMPRIDA;ANAC
39405;ACIDENTE;07/02/2010 11:30;-1,71E+11;5,45E+11;ITIQUIRA;MT;BRASIL;****;SIM;FINALIZADA;A-032/CENIPA/2011;SIM;21/07/2011;1;1;NÃO;PERDA DE CONTROLE EM VOO;PERDA DE CONTROLE EM VOO;LOC-I;PTUML;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-202;IPAN;PISTÃO;MONOMOTOR;1800;1800;1;2000;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;AGRÍCOLA;SUBSTANCIAL;0;APLICAÇÃO DE COMANDOS;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;097/2011;21/07/2011;21/07/2011 00:00;Divulgar aos seus pilotos o conteúdo deste Relatório Final, alertando-os para os seus pontos focais, sobretudo em relação aos cuidados que devem ser tomados durante os voos a baixa altura, com condições meteorológicas pouco favoráveis.;***;DIVERSOS-J
39507;ACIDENTE;11/01/2010 17:00;-1,56E+11;-5,43E+11;PRIMAVERA DO LESTE;MT;BRASIL;****;SIM;FINALIZADA;A-016/CENIPA/2011;SIM;30/06/2011;2;1;NÃO;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP;PTUTM;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-202A;IPAN;PISTÃO;MONOMOTOR;1800;1800;1;2005;BRASIL;BRASIL;AVIÃO;AGRÍCOLA;C.T.O. ITAÚ;FORA DE AERODROMO;OUTRA FASE;AGRÍCOLA;SUBSTANCIAL;0;PESSOAL DE APOIO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;065/2011;30/06/2011;01/08/2011 00:00;Revisar os requisitos de concessão e revalidação de habilitação técnica de piloto agrícola (PAGR), a fim de assegurar-se de que o piloto possua os conhecimentos necessários relativos ao armazenamento, transporte e abastecimento de combustível da aeronave.;CUMPRIDA;ANAC
39687;INCIDENTE GRAVE;28/01/2010 10:30;-2,63E+11;-5,10E+11;PORTO UNIÃO;SC;BRASIL;****;SIM;FINALIZADA;IG-509/CENIPA/2017;SIM;17/05/2018;1;1;NÃO;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP;PTUPW;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-202;IPAN;PISTÃO;MONOMOTOR;1800;1800;1;2003;BRASIL;BRASIL;AVIÃO;ESPECIALIZADA;SANTA TEREZINHA;COMANDANTE ANTONIO AMILTON BERALDO;ESPECIALIZADA;ESPECIALIZADA;NENHUM;0;FABRICAÇÃO;ASPECTO DE FABRICAÇÃO;***;FATOR MATERIAL;IG-509/CENIPA/2017 - 01;17/05/2018;17/05/2018 00:00;Divulgar os ensinamentos colhidos da presente investigação, buscando alertar operadores e mantenedores, sobretudo os que operam aeronaves convertidas de Gasolina de Aviação (GAV) para Álcool Etílico Hidratado Combustível (AEHC), sobre a necessidade da correta análise de todos os componentes do motor, por ocasião das inspeções programadas, visando identificar possíveis anormalidades.;CUMPRIDA;ANAC
39707;INCIDENTE GRAVE;09/01/2010 12:30;-65319444444;-6,44E+11;CANUTAMA;AM;BRASIL;****;SIM;FINALIZADA;IG-028/CENIPA/2011;SIM;21/07/2011;3;1;NÃO;COM TREM DE POUSO;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO;SCF-NP;PTEVH;***;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;BIMOTOR;2073;2073;7;1979;BRASIL;BRASIL;AVIÃO;PARTICULAR;EDUARDO GOMES;LÁBREA;CRUZEIRO;PRIVADA;LEVE;0;INDISCIPLINA DE VOO;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;088/2011;21/07/2011;09/08/2011 00:00;Impedir a operação a operação de aeronaves até que seja efetivada a homologação do aeródromo.;AGUARDANDO RESPOSTA;PREF-CANUTAMA
39709;INCIDENTE GRAVE;23/01/2010 16:36;-2,54E+11;-4,92E+11;CURITIBA;PR;BRASIL;SBBI;***;FINALIZADA;IG-029/CENIPA/2011;SIM;21/07/2011;2;1;SIM;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP;PTOLF;***;AVIÃO;PIPER AIRCRAFT;PA-31T1;PAY1;TURBOÉLICE;BIMOTOR;3946;3946;7;1980;BRASIL;BRASIL;AVIÃO;PARTICULAR;MINISTRO VICTOR KONDER;BACACHERI;CORRIDA APÓS POUSO;PRIVADA;NENHUM;0;MANUTENÇÃO DA AERONAVE;DESEMPENHO DO SER HUMANO;MANUTENÇÃO DA AERONAVE;FATOR OPERACIONAL;091/2011;21/07/2011;09/08/2011 00:00;Revisar os procedimentos de inspeção de 100 horas das aeronaves PA-31T1, visando assegurar-se do cumprimento de todos os procedimentos previstos pelo fabricante, em especial no tocante à inspeção dos cilindros de freio quanto à segurança e operação.;AGUARDANDO RESPOSTA;AXIAL
39747;INCIDENTE;31/01/2010 19:47;;;CAIRU;BA;BRASIL;SNCL;***;;;NÃO;;4;1;NÃO;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL;PTEHG;TÁXI AÉREO;AVIÃO;EMBRAER;EMB-820C NAVAJO;PA31;PISTÃO;BIMOTOR;3175;3175;10;1976;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;TÁXI AÉREO;LEVE;0;;;;;063/D/10;06/04/2010;16/04/2010 00:00;Realizar auditoria no setor de operações da empresa Addey Táxi Aéreo Ltda., buscando se certificar da adequação do seu Programa de Treinamento e Manual Geral de Operações (MGO), no que se refere ao planejamento de vôo, incluindo os cálculos de peso e balanceamento das aeronaves.;CUMPRIDA;ANAC
39887;ACIDENTE;09/03/2010 17:45;-1,99E+11;-4,40E+11;BELO HORIZONTE;MG;BRASIL;SBPR;SIM;FINALIZADA;A-557/CENIPA/2015;SIM;07/04/2016;1;1;SIM;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;SCF-NP;PTNYV;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;P28A;PISTÃO;MONOMOTOR;1157;1157;4;1982;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;CARLOS PRATES;CARLOS PRATES;SUBIDA;INSTRUÇÃO;SUBSTANCIAL;0;JULGAMENTO DE PILOTAGEM;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;A-557/CENIPA/2015 - 01;07/04/2016;18/05/2016 00:00;Avaliar a pertinência da emissão de uma Diretriz de Aeronavegabilidade relativa ao cumprimento do SB R-15A, de 04 de outubro de 1989, emitido pela Sensenich Propeller Inc., com o intuito de tornar obrigatória no Brasil a aplicação dos procedimentos, contidos no referido boletim, nas hélices metálicas de passo fixo deste fabricante, instaladas em aeronaves de matrícula brasileira, a fim de se evitar a possibilidade de quebra da pá por corrosão e fadiga.;NÃO CUMPRIDA;ANAC
39913;INCIDENTE GRAVE;10/03/2010 06:17;-98691666667;-6,79E+11;RIO BRANCO;AC;BRASIL;SBRB;SIM;FINALIZADA;IG-131/CENIPA/2011;SIM;21/12/2011;3;1;SIM;COM PARA-BRISAS / JANELA / PORTA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA;SCF-NP;PTMEA;***;AVIÃO;CESSNA AIRCRAFT;208B;C208;TURBOÉLICE;MONOMOTOR;3969;3969;11;1993;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;***;CRUZEIRO DO SUL;DECOLAGEM;TÁXI AÉREO;NENHUM;0;COORDENAÇÃO DE CABINE;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;400/2011;21/12/2011;06/02/2012 00:00;Realizar treinamento de CRM para todo o pessoal da empresa envolvido com a atividade aérea.;AGUARDANDO RESPOSTA;FLEX
39916;INCIDENTE GRAVE;07/03/2010 19:35;-30505555556;-6,01E+11;MANAUS;AM;BRASIL;SBEG;SIM;FINALIZADA;IG-171/CENIPA/2013;SIM;30/12/2013;2;1;SIM;ESTOURO DE PNEU;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU;SCF-NP;PTLJK;***;AVIÃO;LEARJET;35A;LJ35;JATO;BIMOTOR;8301;8301;10;1981;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;EDUARDO GOMES;FORA DE AERODROMO;DECOLAGEM;TÁXI AÉREO;LEVE;0;COORDENAÇÃO DE CABINE;DESEMPENHO DO SER HUMANO;OPERAÇÃO DA AERONAVE;FATOR OPERACIONAL;IG-171/CENIPA/2013 - RSV 001;30/12/2013;19/03/2014 00:00;Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC
39930;INCIDENTE GRAVE;16/02/2010 16:25;-2,55E+11;-4,92E+11;CURITIBA;PR;BRASIL;SBCT;SIM;FINALIZADA;IG-170/CENIPA/2013;SIM;12/12/2013;2;1;NÃO;PROBLEMAS FISIOLÓGICOS;OUTROS | PROBLEMAS FISIOLÓGICOS;OTHR;PTWKQ;***;AVIÃO;CESSNA AIRCRAFT;550;C550;JATO;BIMOTOR;6033;6033;7;1991;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;AEROPUERTO INTERNACIONAL MINISTRO PISTARINI;AFONSO PENA;CRUZEIRO;TÁXI AÉREO;NENHUM;0;DIETA INADEQUADA;ASPECTO MÉDICO;***;FATOR HUMANO;IG-170/CENIPA/2013 - RSV 001;12/12/2013;12/02/2014 00:00;Atuar junto às empresas de táxi-aéreo, a fim de que sejam ministradas palestras sobre medicina aeroespacial para todos os aeronavegantes, bem como sobre a importância de um setor médico bem estruturado e estabelecido nas empresas que sirva de suporte aos aeronavegantes.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC
39933;ACIDENTE;26/02/2010 11:19;-2,00E+11;-4,39E+11;BELO HORIZONTE;MG;BRASIL;****;SIM;FINALIZADA;A-032/CENIPA/2013;SIM;30/12/2013;1;1;NÃO;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;CTOL;PTOID;***;AVIÃO;CESSNA AIRCRAFT;310R;C310;PISTÃO;BIMOTOR;2495;2495;6;1976;BRASIL;BRASIL;AVIÃO;PARTICULAR;DOUTOR RAMALHO FRANCO;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;DESCIDA;PRIVADA;DESTRUÍDA;2;ATITUDE;ASPECTO PSICOLÓGICO;INDIVIDUAL;FATOR HUMANO;A-032/CENIPA/2013-RSV001;30/12/2013;22/08/2014 00:00;Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves da aviação geral brasileira.;CUMPRIDA;ANAC
39969;INCIDENTE;09/02/2010 23:50;***;***;SALVADOR;BA;BRASIL;SBSV;SIM;FINALIZADA;I-033/CENIPA/2011;SIM;21/07/2011;4;1;NÃO;FALHA DO MOTOR EM VOO;FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO;SCF-PP;PRGEA;***;AVIÃO;BOEING COMPANY;737-7EH;B737;JATO;BIMOTOR;70080;70080;154;2009;BRASIL;BRASIL;AVIÃO;REGULAR;DEPUTADO LUÍS EDUARDO MAGALHÃES;ANTONIO CARLOS JOBIM / GALEÃO;SUBIDA;REGULAR;NENHUM;0;FABRICAÇÃO;ASPECTO DE FABRICAÇÃO;***;FATOR MATERIAL;141/D/11;21/07/2011;29/08/2011 00:00;Determinar a causa da falha do rolamento verificada na análise inicial do motor.;CUMPRIDA;GE CELMA
39992;ACIDENTE;17/02/2010 20:07;-2,05E+11;-4,66E+11;SÃO PAULO;SP;BRASIL;SBMT;SIM;FINALIZADA;A-032/CENIPA/2012;SIM;22/03/2012;11;1;SIM;EXCURSÃO DE PISTA;EXCURSÃO DE PISTA;RE;PRUUT;***;AVIÃO;EMBRAER;EMB-500;E50P;JATO;BIMOTOR;4750;4750;6;2009;BRASIL;BRASIL;AVIÃO;PARTICULAR;PRESIDENTE JUSCELINO KUBITSCHEK;CAMPO DE MARTE;CORRIDA APÓS POUSO;PRIVADA;LEVE;0;CONDIÇÕES METEOROLÓGICAS ADVERSAS;ELEMENTOS RELACIONADOS AO AMBIENTE OPERACIONAL;***;FATOR OPERACIONAL;141/2012;22/03/2012;20/04/2012 00:00;Realizar uma avaliação das condições de escoamento de água da pista de pouso do Aeroporto de Campo de Marte - SBMT, visando verificar se atende aos requisitos aplicáveis.;NÃO CUMPRIDA;ANAC
